name_en,name_br,name_fr,name_ge,name_po,name_ru,name_sc,name_sp
Ancient Terraforming Device,Dispositivo Antigo de Terraformação,Ancien appareil de terraformation,Uraltes Terraforming-Gerät,Pradawne urządzenie terraformujące,Древнее терраформирующее устройство,远古地球化设备,Dispositivo antiguo de terraformación
Designed Forestation,Florestamento Projetado,Boisement par design,Gestaltete Aufforstung,Planowe zalesianie,Дизайн лесов,计划造林,Forestación designada
Lake Vaporators,Condensadores de Lagos,Vaporateurs de lac,See-Vaporatoren,Parownice jeziorne,Выпариватели озер,湖水蒸发器,Evaporadores de lago
Landscaping Nanites,Nanites de Paisagismo,Nanites d'aménagement du paysage,Landschaftsbau-Nanomaschinen,Nanity krajobrazowe,Проектирование нанитами,地形改造纳米机器人,Nanites de paisajismo
Resilient Vegetation,Vegetação Resiliente,Végétation résiliente,Widerstandsfähige Vegetation,Odporna roślinność,Выносливая растительность,顽强植被,Vegetación resistente
Construction Nanites ,Nanites de Construção ,Nanites de Construction ,Nanobaumaschinen ,Nanity budowlane ,Строительные наниты ,建筑纳米机器人 ,Nanorrobots constructores 
Hull Polarization,Polarização de Casco,Polarisation de la Coque,Hüllenpolarisierung,Polaryzacja kadłuba,Поляризация корпуса,建筑极化,Polarización de la cubierta
Project Phoenix,Projeto Fênix,Projet Phénix,Phönix-Projekt,Projekt Feniks,Проект «Феникс»,凤凰计划,Proyecto Fénix
Soylent Green,Tabletes Verdes,Soleil Vert,Soylent Green,Zielona pożywka,Сойлентовая зелень,绿色食物,Soylent Green
Neural Empathy,Empatia Neural,Empathie Neurale,Neurale Empathie,Empatia neuronalna,Нейронная эмпатия,感同身受,Empatía neural
Rapid Sleep,Sono Rápido,Sommeil Rapide,Schnellschlaf,Szybki sen,Быстрый сон,快速睡眠,Sueño rápido
The Positronic Brain,O Cérebro Positrônico,Le Cerveau Positronique,Der positronische Verstand,Pozytronowy mózg,Позитронный мозг,正子脑,Cerebro positrónico
Safe Mode,Modo Seguro,Mode Sans échec,Sicherheitsmodus,Tryb bezpieczny,Безопасный режим,安全模式,Modo de seguridad
Hive Mind ,Mentalidade de Colmeia ,Esprit de la Ruche ,Schwarmdenken ,Umysł roju ,Коллективный разум ,蜂巢思维 ,Conciencia colectiva 
